t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1559822963,42,19.948864,0.000000,0.000000,0.000000,events/second
1559822965,83,20.229779,0.000000,0.000000,0.000000,events/second
1559822967,120,19.670461,19.400000,19.400000,19.400000,events/second
1559822969,156,19.251514,19.400000,19.400000,19.400000,events/second
1559822971,194,19.202380,19.352027,19.390083,19.396676,events/second
1559822973,231,19.091909,19.352027,19.390083,19.396676,events/second
1559822975,269,19.078119,19.352027,19.390083,19.396676,events/second
1559822977,307,19.064978,19.355862,19.390247,19.396694,events/second
1559822979,346,19.114161,19.355862,19.390247,19.396694,events/second
1559822981,383,19.050867,19.295427,19.377185,19.392281,events/second
1559822983,420,19.004045,19.295427,19.377185,19.392281,events/second
1559822985,461,19.128615,19.295427,19.377185,19.392281,events/second
1559822987,498,19.080147,19.319779,19.380868,19.393431,events/second
1559822989,534,19.001601,19.319779,19.380868,19.393431,events/second
1559822991,573,19.035467,19.230247,19.361350,19.386820,events/second
1559822993,616,19.189185,19.230247,19.361350,19.386820,events/second
1559822995,657,19.265216,19.230247,19.361350,19.386820,events/second
1559822997,699,19.362680,19.339766,19.381823,19.393541,events/second
1559822999,734,19.263398,19.339766,19.381823,19.393541,events/second
1559823001,774,19.302071,19.376564,19.388735,19.395793,events/second
1559823003,818,19.429565,19.376564,19.388735,19.395793,events/second
1559823005,851,19.295754,19.376564,19.388735,19.395793,events/second
1559823007,887,19.239814,19.410420,19.395532,19.398032,events/second
